no_ratings,product_name,product_price,product_rating
9,"IFB 7.5 kg Fully Automatic Front Load with In-built Heater White,  (ELITE PLUS SXR)","36,499",3.7
117,"IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,  (Diva Aqua SX)","24,990",4.2
38,"IFB 7.5 kg Fully Automatic Front Load with In-built Heater White,  (Elite Plus VX ID)","40,549",4.3
"5,153","IFB 7 kg Fully Automatic Top Load White,  (TL- SDW 7.0KG AQUA)","20,490",4.3
218,"IFB 7.5 kg Fully Automatic Top Load Silver,  (TL- SDR /SSDR Aqua)","28,944",4.2
634,"IFB 6.5 kg Fully Automatic Top Load Grey,  (TL-RCG/RCSG 6.5 KG AQUA)","21,299",4.3
97,"IFB 8 kg Fully Automatic Top Load Grey,  (TL- SDG / SSDG Aqua)","31,499",4
97,"IFB 8 kg Fully Automatic Top Load Silver,  (TL- SSDG Aqua)","28,899",4
288,"IFB 6.5 kg Fully Automatic Front Load with In-built Heater White,  (Serena Aqua VX)","28,999",4.3
747,"IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,  (EVA AQUA SX LDT)","24,070",4.3
563,"IFB 7 kg Fully Automatic Front Load with In-built Heater Silver,  (Elite Aqua SX)","32,490",4.4
131,"IFB 6.5 kg Fully Automatic Front Load with In-built Heater White,  (Senorita WX)","33,699",4.3
61,"IFB 7 kg Fully Automatic Front Load with In-built Heater White,  (SENATOR SMART VX)","33,950",3.7
"1,311","IFB 6.5 kg Fully Automatic Front Load with In-built Heater White,  (Senorita Aqua VX)","29,999",4.4
823,"IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,  (Elena Aqua SX LDT)","28,690",4.3
90,"IFB 6.5 kg Fully Automatic Front Load with In-built Heater Silver,  (Senorita Smart SX)","31,499",4.3
597,"IFB 6 kg Fully Automatic Front Load with In-built Heater White,  (Elena Aqua VX)","23,999",4.4
,"IFB 8 kg 5 Star Fully Automatic Front Load with In-built Heater Silver,  (SENATOR PLUS SX)","40,490",
,"IFB 8.5 kg Fully Automatic Top Load with In-built Heater Brown,  (TL85SDBR)","31,900",
65,"IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,  (NEODIVA-SX)","25,990",4.1
"5,974","IFB 6.5 kg Water softener Aqua Energie Fully Automatic Top Load White,  (TL-REW Aqua 6.5 kg)","15,490",4.3
"5,769","IFB 7 kg 2D Wash, Self Diagnosis Fully Automatic Front Load with In-built Heater Silver,  (Serena Aqua Sx LDT 7.0 KG)","27,490",4.3
"2,014","IFB 8 kg Unbalance correction, self-diagnosis Fully Automatic Front Load with In-built Heater Silver,  (Senator WXS)","35,490",4.5
"5,974","IFB 6.5 kg Water softener Aqua Energie, Auto Imbalance Fully Automatic Top Load Silver,  (TL-RDS/RDSS 6.5 kg Aqua)","19,799",4.3
"37,189","IFB 6 kg 2D Wash Fully Automatic Front Load with In-built Heater White,  (Diva Aqua VX)","20,990",4.3
187,"IFB 6.5 kg Fully Automatic Front Load with In-built Heater Silver,  (ELENA ZXS)","29,490",4.3
297,"IFB 8.5 kg Fully Automatic Front Load with In-built Heater White,  (Executive Plus VX ID)","43,990",4.4
56,"IFB 6 kg Fully Automatic Front Load with In-built Heater White,  (NEODIVA-VX)","24,490",4
"1,151","IFB 6.5 kg Fully Automatic Top Load Red,  (TL- SDR /SSDR 6.5 KG Aqua)","20,600",4.3
"5,153","IFB 7 kg Fully Automatic Top Load Grey,  (TL-SDG / SGDG 7.0KG AQUA)","22,167",4.3
132,"IFB 7 kg Fully Automatic Front Load with In-built Heater Silver,  (SERENA ZXS)","30,990",4.3
"6,962","IFB 6.5 kg Fully Automatic Front Load with In-built Heater White,  (ELENA ZX)","28,990",4.4
85,"IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,  (EVA ZXS)","28,490",4.6
45,"IFB 6 kg Fully Automatic Front Load with In-built Heater White,  (EVA ZX)","26,990",4.2
343,"IFB 7.5 kg Fully Automatic Front Load with In-built Heater White,  (Elite WX)","36,250",4.4
75,"IFB 6.5 kg Fully Automatic Front Load with In-built Heater Silver,  (Senorita WXS)","32,899",4.3
305,"IFB 7.5 kg Fully Automatic Top Load Gold,  (TL- RCH 7.5 KG Aqua)","26,499",4.3
140,"IFB 7 kg Fully Automatic Front Load with In-built Heater White,  (Serena WX)","32,490",4.2
"20,294","IFB 6.5 kg Water softener Aqua Energie Fully Automatic Top Load White,  (TL- RDW 6.5KG Aqua)","16,990",4.3
384,"IFB 9.5 kg Fully Automatic Top Load Grey,  (TL-SDG 9.5 Kg Aqua)","29,295",4.1
"6,962","IFB 6.5 kg 3D Wash Fully Automatic Front Load with In-built Heater Silver,  (Senorita Aqua SX 6.5)","29,990",4.4
105,"IFB 6.5 kg Wifi-Enabled Fully Automatic Front Load with In-built Heater White,  (Senorita ZX)","32,490",4.3
"14,077","IFB 8 kg Water softener Aqua Energie,3D Wash Fully Automatic Front Load with In-built Heater Silver,  (Senator Aqua SX)","33,499",4.4
